client_id,age,weight,gender,height,fitness_level,goal,workout_plan,nutrition_plan,health_tips
1,48.0,80.0,male,165.0,advanced,maintain_fitness,"{'monday': '20 minutes jump rope, 30 minutes HIIT', 'tuesday': '30 minutes pilates, 30 minutes running', 'wednesday': '20 minutes strength training, 30 minutes swimming', 'thursday': '45 minutes yoga, 30 minutes running', 'friday': '50 minutes dance class, 20 minutes strength training', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Scrambled eggs with veggies', 'lunch': 'Lentil soup with whole grain bread', 'dinner': 'Chicken stir-fry with brown rice', 'snacks': ['Apple slices with peanut butter', 'Greek yogurt'], 'monday': 'Scrambled eggs, Lentil soup, Chicken stir-fry', 'tuesday': 'Smoothie, Chicken salad, Beef stir-fry', 'wednesday': 'Oatmeal, Veggie wrap, Salmon with veggies', 'thursday': 'Pancakes, Turkey sandwich, Stir-fried tofu', 'friday': 'Avocado toast, Lentil soup, Baked fish', 'saturday': 'Greek yogurt, Salad with chicken, Vegetable curry', 'sunday': 'Fruit salad, Quinoa bowl, Grilled shrimp'}","['Practice mindfulness', 'Get at least 7 hours of sleep', 'Limit sugar intake']"
2,24.0,52.0,male,157.0,advanced,weight_loss,"{'monday': '45 minutes yoga, 30 minutes running', 'tuesday': '50 minutes dance class, 20 minutes strength training', 'wednesday': '30 minutes pilates, 30 minutes running', 'thursday': '20 minutes strength training, 30 minutes swimming', 'friday': '40 minutes cycling, 20 minutes yoga', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Smoothie with spinach, banana, and protein powder', 'lunch': 'Turkey sandwich on whole grain bread with avocado', 'dinner': 'Stir-fried tofu with vegetables and brown rice', 'snacks': ['Fruit', 'Carrot sticks with hummus'], 'monday': 'Smoothie, Turkey sandwich, Stir-fried tofu with vegetables', 'tuesday': 'Scrambled eggs, Veggie wrap, Baked fish with vegetables', 'wednesday': 'Fruit salad, Salad with chicken, Beef stir-fry', 'thursday': 'Greek yogurt, Quinoa bowl, Pasta with veggies', 'friday': 'Oatmeal, Chicken wrap, Salmon with rice', 'saturday': 'Pancakes, Lentil soup, Grilled shrimp with veggies', 'sunday': 'Avocado toast, Veggie burger, Tofu stir-fry'}","['Limit sugar intake', 'Practice mindfulness', 'Avoid processed foods']"
3,61.0,75.0,male,193.0,advanced,weight_loss,"{'monday': '45 minutes yoga, 30 minutes running', 'tuesday': '50 minutes dance class, 20 minutes strength training', 'wednesday': '30 minutes pilates, 30 minutes running', 'thursday': '20 minutes strength training, 30 minutes swimming', 'friday': '40 minutes cycling, 20 minutes yoga', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Oatmeal with fruits', 'lunch': 'Grilled chicken with quinoa and vegetables', 'dinner': 'Salmon with sweet potato and salad', 'snacks': ['Nuts', 'Greek yogurt'], 'monday': 'Oatmeal with fruits, Grilled chicken with quinoa and vegetables, Salmon with sweet potato and salad', 'tuesday': 'Scrambled eggs with veggies, Turkey sandwich on whole grain bread, Stir-fried tofu with vegetables', 'wednesday': 'Smoothie with spinach, banana, protein, Lentil soup with bread, Chicken stir-fry with rice', 'thursday': 'Greek yogurt with honey, Salad with grilled shrimp, Beef stir-fry with broccoli', 'friday': 'Fruit salad, Veggie wrap with hummus, Baked fish with asparagus', 'saturday': 'Avocado toast, Quinoa bowl with beans, Pasta with tomato sauce', 'sunday': 'Pancakes with berries, Chicken salad, Vegetable curry with rice'}","['Limit sugar intake', 'Stay hydrated', 'Practice mindfulness']"
4,36.0,63.0,female,180.0,advanced,muscle_gain,"{'monday': '30 minutes running, 20 minutes strength training', 'tuesday': '20 minutes HIIT', 'wednesday': '40 minutes cycling, 20 minutes yoga', 'thursday': '30 minutes jump rope, 20 minutes core exercises', 'friday': '30 minutes swimming, 20 minutes strength training', 'saturday': '50 minutes hiking', 'sunday': 'Rest day'}","{'breakfast': 'Scrambled eggs with veggies', 'lunch': 'Lentil soup with whole grain bread', 'dinner': 'Chicken stir-fry with brown rice', 'snacks': ['Apple slices with peanut butter', 'Greek yogurt'], 'monday': 'Scrambled eggs, Lentil soup, Chicken stir-fry', 'tuesday': 'Smoothie, Chicken salad, Beef stir-fry', 'wednesday': 'Oatmeal, Veggie wrap, Salmon with veggies', 'thursday': 'Pancakes, Turkey sandwich, Stir-fried tofu', 'friday': 'Avocado toast, Lentil soup, Baked fish', 'saturday': 'Greek yogurt, Salad with chicken, Vegetable curry', 'sunday': 'Fruit salad, Quinoa bowl, Grilled shrimp'}","['Practice mindfulness', 'Stay hydrated', 'Limit sugar intake']"
5,34.0,95.0,female,162.0,intermediate,muscle_gain,"{'monday': '30 minutes running, 20 minutes strength training', 'tuesday': '20 minutes HIIT', 'wednesday': '40 minutes cycling, 20 minutes yoga', 'thursday': '30 minutes jump rope, 20 minutes core exercises', 'friday': '30 minutes swimming, 20 minutes strength training', 'saturday': '50 minutes hiking', 'sunday': 'Rest day'}","{'breakfast': 'Smoothie with spinach, banana, and protein powder', 'lunch': 'Turkey sandwich on whole grain bread with avocado', 'dinner': 'Stir-fried tofu with vegetables and brown rice', 'snacks': ['Fruit', 'Carrot sticks with hummus'], 'monday': 'Smoothie, Turkey sandwich, Stir-fried tofu with vegetables', 'tuesday': 'Scrambled eggs, Veggie wrap, Baked fish with vegetables', 'wednesday': 'Fruit salad, Salad with chicken, Beef stir-fry', 'thursday': 'Greek yogurt, Quinoa bowl, Pasta with veggies', 'friday': 'Oatmeal, Chicken wrap, Salmon with rice', 'saturday': 'Pancakes, Lentil soup, Grilled shrimp with veggies', 'sunday': 'Avocado toast, Veggie burger, Tofu stir-fry'}","['Practice mindfulness', 'Limit sugar intake', 'Avoid processed foods']"
6,52.0,58.0,male,185.0,advanced,weight_loss,"{'monday': '20 minutes jump rope, 30 minutes HIIT', 'tuesday': '30 minutes pilates, 30 minutes running', 'wednesday': '20 minutes strength training, 30 minutes swimming', 'thursday': '45 minutes yoga, 30 minutes running', 'friday': '50 minutes dance class, 20 minutes strength training', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Oatmeal with fruits', 'lunch': 'Grilled chicken with quinoa and vegetables', 'dinner': 'Salmon with sweet potato and salad', 'snacks': ['Nuts', 'Greek yogurt'], 'monday': 'Oatmeal with fruits, Grilled chicken with quinoa and vegetables, Salmon with sweet potato and salad', 'tuesday': 'Scrambled eggs with veggies, Turkey sandwich on whole grain bread, Stir-fried tofu with vegetables', 'wednesday': 'Smoothie with spinach, banana, protein, Lentil soup with bread, Chicken stir-fry with rice', 'thursday': 'Greek yogurt with honey, Salad with grilled shrimp, Beef stir-fry with broccoli', 'friday': 'Fruit salad, Veggie wrap with hummus, Baked fish with asparagus', 'saturday': 'Avocado toast, Quinoa bowl with beans, Pasta with tomato sauce', 'sunday': 'Pancakes with berries, Chicken salad, Vegetable curry with rice'}","['Get at least 7 hours of sleep', 'Practice mindfulness', 'Maintain a balanced diet']"
7,28.0,72.0,male,189.0,intermediate,muscle_gain,"{'monday': '45 minutes yoga, 30 minutes running', 'tuesday': '50 minutes dance class, 20 minutes strength training', 'wednesday': '30 minutes pilates, 30 minutes running', 'thursday': '20 minutes strength training, 30 minutes swimming', 'friday': '40 minutes cycling, 20 minutes yoga', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Smoothie with spinach, banana, and protein powder', 'lunch': 'Turkey sandwich on whole grain bread with avocado', 'dinner': 'Stir-fried tofu with vegetables and brown rice', 'snacks': ['Fruit', 'Carrot sticks with hummus'], 'monday': 'Smoothie, Turkey sandwich, Stir-fried tofu with vegetables', 'tuesday': 'Scrambled eggs, Veggie wrap, Baked fish with vegetables', 'wednesday': 'Fruit salad, Salad with chicken, Beef stir-fry', 'thursday': 'Greek yogurt, Quinoa bowl, Pasta with veggies', 'friday': 'Oatmeal, Chicken wrap, Salmon with rice', 'saturday': 'Pancakes, Lentil soup, Grilled shrimp with veggies', 'sunday': 'Avocado toast, Veggie burger, Tofu stir-fry'}","['Maintain a balanced diet', 'Avoid processed foods', 'Get at least 7 hours of sleep']"
8,40.0,66.0,male,166.0,beginner,maintain_fitness,"{'monday': '20 minutes jump rope, 30 minutes HIIT', 'tuesday': '30 minutes pilates, 30 minutes running', 'wednesday': '20 minutes strength training, 30 minutes swimming', 'thursday': '45 minutes yoga, 30 minutes running', 'friday': '50 minutes dance class, 20 minutes strength training', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Scrambled eggs with veggies', 'lunch': 'Lentil soup with whole grain bread', 'dinner': 'Chicken stir-fry with brown rice', 'snacks': ['Apple slices with peanut butter', 'Greek yogurt'], 'monday': 'Scrambled eggs, Lentil soup, Chicken stir-fry', 'tuesday': 'Smoothie, Chicken salad, Beef stir-fry', 'wednesday': 'Oatmeal, Veggie wrap, Salmon with veggies', 'thursday': 'Pancakes, Turkey sandwich, Stir-fried tofu', 'friday': 'Avocado toast, Lentil soup, Baked fish', 'saturday': 'Greek yogurt, Salad with chicken, Vegetable curry', 'sunday': 'Fruit salad, Quinoa bowl, Grilled shrimp'}","['Limit sugar intake', 'Stay hydrated', 'Get at least 7 hours of sleep']"
9,47.0,89.0,male,200.0,intermediate,weight_loss,"{'monday': '20 minutes jump rope, 30 minutes HIIT', 'tuesday': '30 minutes pilates, 30 minutes running', 'wednesday': '20 minutes strength training, 30 minutes swimming', 'thursday': '45 minutes yoga, 30 minutes running', 'friday': '50 minutes dance class, 20 minutes strength training', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Smoothie with spinach, banana, and protein powder', 'lunch': 'Turkey sandwich on whole grain bread with avocado', 'dinner': 'Stir-fried tofu with vegetables and brown rice', 'snacks': ['Fruit', 'Carrot sticks with hummus'], 'monday': 'Smoothie, Turkey sandwich, Stir-fried tofu with vegetables', 'tuesday': 'Scrambled eggs, Veggie wrap, Baked fish with vegetables', 'wednesday': 'Fruit salad, Salad with chicken, Beef stir-fry', 'thursday': 'Greek yogurt, Quinoa bowl, Pasta with veggies', 'friday': 'Oatmeal, Chicken wrap, Salmon with rice', 'saturday': 'Pancakes, Lentil soup, Grilled shrimp with veggies', 'sunday': 'Avocado toast, Veggie burger, Tofu stir-fry'}","['Practice mindfulness', 'Limit sugar intake', 'Stay hydrated']"
10,55.0,103.0,female,151.0,advanced,maintain_fitness,"{'monday': '20 minutes jump rope, 30 minutes HIIT', 'tuesday': '30 minutes pilates, 30 minutes running', 'wednesday': '20 minutes strength training, 30 minutes swimming', 'thursday': '45 minutes yoga, 30 minutes running', 'friday': '50 minutes dance class, 20 minutes strength training', 'saturday': '40 minutes hiking, 20 minutes stretching', 'sunday': 'Rest day'}","{'breakfast': 'Smoothie with spinach, banana, and protein powder', 'lunch': 'Turkey sandwich on whole grain bread with avocado', 'dinner': 'Stir-fried tofu with vegetables and brown rice', 'snacks': ['Fruit', 'Carrot sticks with hummus'], 'monday': 'Smoothie, Turkey sandwich, Stir-fried tofu with vegetables', 'tuesday': 'Scrambled eggs, Veggie wrap, Baked fish with vegetables', 'wednesday': 'Fruit salad, Salad with chicken, Beef stir-fry', 'thursday': 'Greek yogurt, Quinoa bowl, Pasta with veggies', 'friday': 'Oatmeal, Chicken wrap, Salmon with rice', 'saturday': 'Pancakes, Lentil soup, Grilled shrimp with veggies', 'sunday': 'Avocado toast, Veggie burger, Tofu stir-fry'}","['Maintain a balanced diet', 'Avoid processed foods', 'Limit sugar intake']"
